BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Lowland calcareous grassland,Lowland calcareous grassland,,Biodiversity Action Plan Priority Habitats,Calcareous grassland,Calcareous grassland,B3,Phase 1 Habitat Classification,potentially overlaps with,
Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,Dry heath/acid grassland,Dry heath/acid grassland,D5,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Sphagnum warnstorfii mire,<i>Carex rostrata</i>-<i>Sphagnum warnstorfii</i> mire,M8,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex curta-Sphagnum russowii mire,<i>Carex curta</i>-<i>Sphagnum russowii</i> mire,M7,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex echinata-Sphagnum recurvum/auriculatum mire,<i>Carex echinata</i>-<i>Sphagnum recurvum</i>/<I>auriculatum</I> mire,M6,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Sphagnum squarrosum mire,<i>Carex rostrata</i>-<i>Sphagnum squarrosum</i> mire,M5,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Carex rostrata-Sphagnum recurvum mire,<i>Carex rostrata</i>-<i>Sphagnum recurvum</i> mire,M4,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Eriophorum angustifolium bog pool community,<i>Eriophorum angustifolium</i> bog pool community,M3,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Sphagnum cuspidatum/recurvum bog pool community,<i>Sphagnum cuspidatum</i>/<i>recurvum</i> bog pool community,M2,National Vegetation Classification,may include,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Swamp,Swamp,F1,Phase 1 Habitat Classification,potentially overlaps with,
Fens,Fens,,Biodiversity Action Plan Priority Habitats,Fen,Fen,E3,Phase 1 Habitat Classification,potentially overlaps with,
