Year,Group,Quadrat,Species,Cover
2023,A,1,Blechnum spicant,NA
2023,A,1,Calluna vulgaris,0.07
2023,A,1,Cladonia deformis,0.01
2023,A,1,Dicranum scoparium,0.025
2023,A,1,Empetrum nigrum,0.18
2023,A,1,Erica tetralix,0.04
2023,A,1,Goodyera repens,0.025
2023,A,1,Hylocomium splendens,0.18
2023,A,1,Hypnum cupressiforme,0.01
2023,A,1,Juniperus communis,NA
2023,A,1,Listera cordata,0.01
2023,A,1,Lophocolea bidentata,0.025
2023,A,1,Melampyrum pratense,NA
2023,A,1,Ptilium crista-castrensis,NA
2023,A,1,Rhytidiadelphus loreus,0.025
2023,A,1,Sphagnum,0.01
2023,A,1,Vaccinium myrtillus,0.295
2023,A,1,Vaccinium vitis-idaea,0.18
2023,A,2,Calluna vulgaris,0.04
2023,A,2,Campylopus flexuosus,0.01
2023,A,2,Dicranum scoparium,0.01
2023,A,2,Empetrum nigrum,0.04
2023,A,2,Erica tetralix,0.04
2023,A,2,Hylocomium splendens,0.295
2023,A,2,Leucobryum glaucum,NA
2023,A,2,Melampyrum pratense,0.01
2023,A,2,Molinia caerulea,NA
2023,A,2,Pleurozium schreberi,0.025
2023,A,2,Rhytidiadelphus loreus,0.01
2023,A,2,Sphagnum,0.025
2023,A,2,Vaccinium myrtillus,0.58
2023,A,2,Vaccinium vitis-idaea,0.07
2023,A,3,Calluna vulgaris,0.025
2023,A,3,Campylopus flexuosus,NA
2023,A,3,Deschampsia flexuosa,0.04
2023,A,3,Empetrum nigrum,NA
2023,A,3,Erica tetralix,0.025
2023,A,3,Hylocomium splendens,0.07
2023,A,3,Luzula multiflora,0.025
2023,A,3,Melampyrum pratense,0.01
2023,A,3,Pleurozium schreberi,0.025
2023,A,3,Rhytidiadelphus loreus,0.01
2023,A,3,Rhytidiadelphus triquetrus,0.07
2023,A,3,Vaccinium myrtillus,0.295
2023,A,3,Vaccinium vitis-idaea,0.18
2023,A,4,Agrostis tenuis,0.01
2023,A,4,Calluna vulgaris,0.04
2023,A,4,Dicranum scoparium,0.01
2023,A,4,Empetrum nigrum,NA
2023,A,4,Erica cinerea,NA
2023,A,4,Goodyera repens,0.04
2023,A,4,Hylocomium splendens,0.295
2023,A,4,Lophocolea bidentata,0.025
2023,A,4,Luzula multiflora,0.01
2023,A,4,Plagiothecium undulatum,0.01
2023,A,4,Pleurozium schreberi,0.025
2023,A,4,Pseudoscleropodium purum,0.025
2023,A,4,Ptilium crista-castrensis,0.025
2023,A,4,Rhytidiadelphus triquetrus,NA
2023,A,4,Sphagnum,NA
2023,A,4,Vaccinium myrtillus,0.07
2023,A,4,Vaccinium vitis-idaea,0.58
2023,A,5,Calluna vulgaris,0.01
2023,A,5,Deschampsia flexuosa,0.295
2023,A,5,Empetrum nigrum,NA
2023,A,5,Galium saxatile,0.04
2023,A,5,Goodyera repens,0.025
2023,A,5,Hylocomium splendens,0.18
2023,A,5,Lathyrus montanus,NA
2023,A,5,Lophocolea bidentata,NA
2023,A,5,Luzula pilosa,0.04
2023,A,5,Melampyrum pratense,0.04
2023,A,5,Oxalis acetosella,NA
2023,A,5,Plagiothecium undulatum,0.07
2023,A,5,Pleurozium schreberi,0.01
2023,A,5,Pteridium aquilinum,NA
2023,A,5,Rhytidiadelphus triquetrus,0.01
2023,A,5,Vaccinium myrtillus,0.295
2023,A,5,Vaccinium vitis-idaea,0.18
2023,A,5,Viola riviniana,NA
