"Supplied Name","guid","scientificName","family","kingdom"
"Sagiolechia protuberans","NBNSYS0000016949","Sagiolechia protuberans","Sagiolechiaceae","Fungi"
"Parmeliopsis ambigua","NBNSYS0000153259","Parmeliopsis ambigua","Parmeliaceae","Fungi"
"Rhizocarpon timdalii","NHMSYS0001496296","Rhizocarpon timdalii","Rhizocarpaceae","Fungi"
"Catolechia wahlenbergii","NBNSYS0000039603","Catolechia wahlenbergii","Rhizocarpaceae","Fungi"
"Parmelinopsis horrescens","NBNSYS0000153257","Parmelinopsis horrescens","Parmeliaceae","Fungi"
"Verrucaria elaeomelaena s. lat.","BMSSYS0000052458","Verrucaria elaeomelaena s. lat.","Verrucariaceae","Fungi"
"Cladonia squamosa var. subsquamosa","NHMSYS0000840846","Cladonia squamosa var. subsquamosa","Cladoniaceae","Fungi"
"Caloplaca nivalis","NBNSYS0000020548","Caloplaca nivalis","Teloschistaceae","Fungi"
"Opegrapha prosodea","NHMSYS0020991048","Zwackhia prosodea","Roccellaceae","Fungi"
"Cladonia callosa","NHMSYS0001477603","Cladonia callosa","Cladoniaceae","Fungi"
"Cladonia pocillum","NHMSYS0000362105","Cladonia pocillum","Cladoniaceae","Fungi"
"Collema subnigrescens","NBNSYS0000018452","Collema subnigrescens","Collemataceae","Fungi"
"Buellia stellulata","NBNSYS0000018286","Buellia stellulata","Caliciaceae","Fungi"
"Lecidea lichenicola","NHMSYS0021646115","Watsoniomyces obsoletus","Lichinaceae","Fungi"
"Cladonia scabriuscula","NBNSYS0000039616","Cladonia scabriuscula","Cladoniaceae","Fungi"
"Ochrolechia xanthostoma","BMSSYS0000012156","Ochrolechia xanthostoma","Ochrolechiaceae","Fungi"
"Sclerophora peronella","NBNSYS0000015566","Sclerophora peronella","Coniocybaceae","Fungi"
"Pannaria conoplea","NHMSYS0001491680","Pannaria conoplea","Pannariaceae","Fungi"
"Arthonia radiata","NBNSYS0000015513","Arthonia radiata","Arthoniaceae","Fungi"
"Verrucaria degelii","NHMSYS0001501564","Verrucaria degelii","Verrucariaceae","Fungi"
"Leptogidium dendriscum","BMSSYS0000010306","Leptogidium dendriscum","Placynthiaceae","Fungi"
"Acarospora subrufula","NBNSYS0000018162","Acarospora subrufula","Acarosporaceae","Fungi"
"Protoblastenia incrustans","NHMSYS0001494802","Protoblastenia incrustans","Psoraceae","Fungi"
