code & community/sub-community name,code,community/sub-community name,code,community name,Synonym or shortened community name as used in British Plant Communities Volumes,code1,code2,code3,sub-community name
A1 Lemna gibba community,A1,Lemna gibba community,A1,Lemna gibba community,Lemnetum gibbae,A,1,,
A2 Lemna minor community,A2,Lemna minor community,A2,Lemna minor community,Lemnetum minoris,A,2,,
"A2a Lemna minor community, typical sub-community",A2a,"Lemna minor community, typical sub-community",A2,Lemna minor community,,A,2,a,typical sub-community
"A2b Lemna minor community, Lemna trisulca sub-community",A2b,"Lemna minor community, Lemna trisulca sub-community",A2,Lemna minor community,,A,2,b,Lemna trisulca sub-community
"A2c Lemna minor community, Riccia fluitans-Ricciocarpus natans sub-community",A2c,"Lemna minor community, Riccia fluitans-Ricciocarpus natans sub-community",A2,Lemna minor community,,A,2,c,Riccia fluitans-Ricciocarpus natans sub-community
A3 Spirodela polyrhiza-Hydrocharis morsus-ranae community,A3,Spirodela polyrhiza-Hydrocharis morsus-ranae community,A3,Spirodela polyrhiza-Hydrocharis morsus-ranae community,Spirodela-Hydrocharis community,A,3,,
A4 Hydrocharis morsus-ranae-Stratiotes aloides community,A4,Hydrocharis morsus-ranae-Stratiotes aloides community,A4,Hydrocharis morsus-ranae-Stratiotes aloides community,Hydrocharis-Stratiotes community,A,4,,
A5 Ceratophyllum demersum community,A5,Ceratophyllum demersum community,A5,Ceratophyllum demersum community,Ceratophylletum demersi,A,5,,
"A5a Ceratophyllum demersum community, Ranunculus circinatus sub-community",A5a,"Ceratophyllum demersum community, Ranunculus circinatus sub-community",A5,Ceratophyllum demersum community,,A,5,a,Ranunculus circinatus sub-community
"A5b Ceratophyllum demersum community, Lemna minor sub-community",A5b,"Ceratophyllum demersum community, Lemna minor sub-community",A5,Ceratophyllum demersum community,,A,5,b,Lemna minor sub-community
A6 Ceratophyllum submersum community,A6,Ceratophyllum submersum community,A6,Ceratophyllum submersum community,Ceratophylletum submersi,A,6,,
A7 Nymphaea alba community,A7,Nymphaea alba community,A7,Nymphaea alba community,Nymphaeetum albae,A,7,,
"A7a Nymphaea alba community, species-poor sub-community",A7a,"Nymphaea alba community, species-poor sub-community",A7,Nymphaea alba community,,A,7,a,species-poor sub-community
"A7b Nymphaea alba community, Juncus bulbosus-Potamogeton polygonifolius sub-community",A7b,"Nymphaea alba community, Juncus bulbosus-Potamogeton polygonifolius sub-community",A7,Nymphaea alba community,,A,7,b,Juncus bulbosus-Potamogeton polygonifolius sub-community
A8 Nuphar lutea community,A8,Nuphar lutea community,A8,Nuphar lutea community,Nuphar community,A,8,,
"A8a Nuphar lutea community, species-poor sub-community",A8a,"Nuphar lutea community, species-poor sub-community",A8,Nuphar lutea community,,A,8,a,species-poor sub-community
"A8b Nuphar lutea community, Callitriche stagnalis-Zannichellia palustris sub-community",A8b,"Nuphar lutea community, Callitriche stagnalis-Zannichellia palustris sub-community",A8,Nuphar lutea community,,A,8,b,Callitriche stagnalis-Zannichellia palustris sub-community
"A8c Nuphar lutea community, Nymphaea alba sub-community",A8c,"Nuphar lutea community, Nymphaea alba sub-community",A8,Nuphar lutea community,,A,8,c,Nymphaea alba sub-community
"A8d Nuphar lutea community, Potamogeton obtusifolius-Juncus bulbosus sub-community",A8d,"Nuphar lutea community, Potamogeton obtusifolius-Juncus bulbosus sub-community",A8,Nuphar lutea community,,A,8,d,Potamogeton obtusifolius-Juncus bulbosus sub-community
A9 Potamogeton natans community,A9,Potamogeton natans community,A9,Potamogeton natans community,P. natans community,A,9,,
"A9a Potamogeton natans community, species-poor sub-community",A9a,"Potamogeton natans community, species-poor sub-community",A9,Potamogeton natans community,,A,9,a,species-poor sub-community
"A9b Potamogeton natans community, Elodea canadensis sub-community",A9b,"Potamogeton natans community, Elodea canadensis sub-community",A9,Potamogeton natans community,,A,9,b,Elodea canadensis sub-community
"A9c Potamogeton natans community, Juncus bulbosus-Myriophyllum alterniflorum sub-community",A9c,"Potamogeton natans community, Juncus bulbosus-Myriophyllum alterniflorum sub-community",A9,Potamogeton natans community,,A,9,c,Juncus bulbosus-Myriophyllum alterniflorum sub-community
A10 Polygonum amphibium community,A10,Polygonum amphibium community,A10,Polygonum amphibium community,Polygonum community,A,10,,
A11 Potamogeton pectinatus-Myriophyllum spicatum community,A11,Potamogeton pectinatus-Myriophyllum spicatum community,A11,Potamogeton pectinatus-Myriophyllum spicatum community,Potamogeton-M. spicatum community,A,11,,
"A11a Potamogeton pectinatus-Myriophyllum spicatum community, Potamogeton pusillus sub-community",A11a,"Potamogeton pectinatus-Myriophyllum spicatum community, Potamogeton pusillus sub-community",A11,Potamogeton pectinatus-Myriophyllum spicatum community,,A,11,a,Potamogeton pusillus sub-community
"A11b Potamogeton pectinatus-Myriophyllum spicatum community, Elodea canadensis sub-community",A11b,"Potamogeton pectinatus-Myriophyllum spicatum community, Elodea canadensis sub-community",A11,Potamogeton pectinatus-Myriophyllum spicatum community,,A,11,b,Elodea canadensis sub-community
"A11c Potamogeton pectinatus-Myriophyllum spicatum community, Potamogeton filiformis sub-community",A11c,"Potamogeton pectinatus-Myriophyllum spicatum community, Potamogeton filiformis sub-community",A11,Potamogeton pectinatus-Myriophyllum spicatum community,,A,11,c,Potamogeton filiformis sub-community
A12 Potamogeton pectinatus community,A12,Potamogeton pectinatus community,A12,Potamogeton pectinatus community,P. pectinatus community,A,12,,
A13 Potamogeton perfoliatus-Myriophyllum alterniflorum community,A13,Potamogeton perfoliatus-Myriophyllum alterniflorum community,A13,Potamogeton perfoliatus-Myriophyllum alterniflorum community,Potamogeton-M. alterniflorum community,A,13,,
"A13a Potamogeton perfoliatus-Myriophyllum alterniflorum community, Potamogeton berchtoldii sub-community",A13a,"Potamogeton perfoliatus-Myriophyllum alterniflorum community, Potamogeton berchtoldii sub-community",A13,Potamogeton perfoliatus-Myriophyllum alterniflorum community,,A,13,a,Potamogeton berchtoldii sub-community
"A13b Potamogeton perfoliatus-Myriophyllum alterniflorum community, Potamogeton filiformis sub-community",A13b,"Potamogeton perfoliatus-Myriophyllum alterniflorum community, Potamogeton filiformis sub-community",A13,Potamogeton perfoliatus-Myriophyllum alterniflorum community,,A,13,b,Potamogeton filiformis sub-community
A14 Myriophyllum alterniflorum community,A14,Myriophyllum alterniflorum community,A14,Myriophyllum alterniflorum community,Myriophylletum alterniflori,A,14,,
A15 Elodea canadensis community,A15,Elodea canadensis community,A15,Elodea canadensis community,E. canadensis community,A,15,,
A16 Callitriche stagnalis community,A16,Callitriche stagnalis community,A16,Callitriche stagnalis community,C. stagnalis community,A,16,,
"A16a Callitriche stagnalis community, Callitriche spp. sub-community",A16a,"Callitriche stagnalis community, Callitriche spp. sub-community",A16,Callitriche stagnalis community,,A,16,a,Callitriche spp. sub-community
"A16b Callitriche stagnalis community, Potamogeton pectinatus sub-community",A16b,"Callitriche stagnalis community, Potamogeton pectinatus sub-community",A16,Callitriche stagnalis community,,A,16,b,Potamogeton pectinatus sub-community
A17 Ranunculus penicillatus ssp. pseudofluitans community,A17,Ranunculus penicillatus ssp. pseudofluitans community,A17,Ranunculus penicillatus ssp. pseudofluitans community,R. penicillatus ssp. pseudofluitans community,A,17,,
A18 Ranunculus fluitans community,A18,Ranunculus fluitans community,A18,Ranunculus fluitans community,Ranunculetum fluitantis,A,18,,
A19 Ranunculus aquatilis community,A19,Ranunculus aquatilis community,A19,Ranunculus aquatilis community,Ranunculetum aquatilis,A,19,,
A20 Ranunculus peltatus community,A20,Ranunculus peltatus community,A20,Ranunculus peltatus community,Ranunculetum peltati,A,20,,
A21 Ranunculus baudotii community,A21,Ranunculus baudotii community,A21,Ranunculus baudotii community,Ranunculetum baudotii,A,21,,
A22 Littorella uniflora-Lobelia dortmanna community,A22,Littorella uniflora-Lobelia dortmanna community,A22,Littorella uniflora-Lobelia dortmanna community,Littorella-Lobelia community,A,22,,
"A22a Littorella uniflora-Lobelia dortmanna community, Littorella uniflora sub-community",A22a,"Littorella uniflora-Lobelia dortmanna community, Littorella uniflora sub-community",A22,Littorella uniflora-Lobelia dortmanna community,,A,22,a,Littorella uniflora sub-community
"A22b Littorella uniflora-Lobelia dortmanna community, Myriophyllum alterniflorum sub-community",A22b,"Littorella uniflora-Lobelia dortmanna community, Myriophyllum alterniflorum sub-community",A22,Littorella uniflora-Lobelia dortmanna community,,A,22,b,Myriophyllum alterniflorum sub-community
A23 Isoetes lacustris/setacea community,A23,Isoetes lacustris/setacea community,A23,Isoetes lacustris/setacea community,Isoetes community,A,23,,
A24 Juncus bulbosus community,A24,Juncus bulbosus community,A24,Juncus bulbosus community,Juncus community,A,24,,
"A24a Juncus bulbosus community, Utricularia vulgaris agg. sub-community",A24a,"Juncus bulbosus community, Utricularia vulgaris agg. sub-community",A24,Juncus bulbosus community,,A,24,a,Utricularia vulgaris agg. sub-community
"A24b Juncus bulbosus community, Sphagnum auriculatum sub-community",A24b,"Juncus bulbosus community, Sphagnum auriculatum sub-community",A24,Juncus bulbosus community,,A,24,b,Sphagnum auriculatum sub-community
CG1 Festuca ovina-Carlina vulgaris grassland,CG1,Festuca ovina-Carlina vulgaris grassland,CG1,Festuca ovina-Carlina vulgaris grassland,Festuca-Carlina grassland,CG,1,,
"CG1a Festuca ovina-Carlina vulgaris grassland, Carex humilis sub-community",CG1a,"Festuca ovina-Carlina vulgaris grassland, Carex humilis sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,,CG,1,a,Carex humilis sub-community
"CG1b Festuca ovina-Carlina vulgaris grassland, Scilla autumnalis-Euphorbia portlandica sub-community",CG1b,"Festuca ovina-Carlina vulgaris grassland, Scilla autumnalis-Euphorbia portlandica sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,,CG,1,b,Scilla autumnalis-Euphorbia portlandica sub-community
"CG1c Festuca ovina-Carlina vulgaris grassland, Trinia glauca sub-community",CG1c,"Festuca ovina-Carlina vulgaris grassland, Trinia glauca sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,,CG,1,c,Trinia glauca sub-community
"CG1d Festuca ovina-Carlina vulgaris grassland, Helianthemum canum sub-community",CG1d,"Festuca ovina-Carlina vulgaris grassland, Helianthemum canum sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,,CG,1,d,Helianthemum canum sub-community
"CG1e Festuca ovina-Carlina vulgaris grassland, Koeleria macrantha sub-community",CG1e,"Festuca ovina-Carlina vulgaris grassland, Koeleria macrantha sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,,CG,1,e,Koeleria macrantha sub-community
"CG1f Festuca ovina-Carlina vulgaris grassland, Festuca rubra-Scilla verna sub-community",CG1f,"Festuca ovina-Carlina vulgaris grassland, Festuca rubra-Scilla verna sub-community",CG1,Festuca ovina-Carlina vulgaris grassland,,CG,1,f,Festuca rubra-Scilla verna sub-community
CG2 Festuca ovina-Avenula pratensis grassland,CG2,Festuca ovina-Avenula pratensis grassland,CG2,Festuca ovina-Avenula pratensis grassland,Festuca-Avenula grassland,CG,2,,
"CG2a Festuca ovina-Avenula pratensis grassland, Cirsium acaule-Asperula cynanchica sub-community",CG2a,"Festuca ovina-Avenula pratensis grassland, Cirsium acaule-Asperula cynanchica sub-community",CG2,Festuca ovina-Avenula pratensis grassland,,CG,2,a,Cirsium acaule-Asperula cynanchica sub-community
"CG2b Festuca ovina-Avenula pratensis grassland, Succisa pratensis-Leucanthemum vulgare sub-community",CG2b,"Festuca ovina-Avenula pratensis grassland, Succisa pratensis-Leucanthemum vulgare sub-community",CG2,Festuca ovina-Avenula pratensis grassland,,CG,2,b,Succisa pratensis-Leucanthemum vulgare sub-community
"CG2c Festuca ovina-Avenula pratensis grassland, Holcus lanatus-Trifolium repens sub-community",CG2c,"Festuca ovina-Avenula pratensis grassland, Holcus lanatus-Trifolium repens sub-community",CG2,Festuca ovina-Avenula pratensis grassland,,CG,2,c,Holcus lanatus-Trifolium repens sub-community
"CG2d Festuca ovina-Avenula pratensis grassland, Dicranum scoparium sub-community",CG2d,"Festuca ovina-Avenula pratensis grassland, Dicranum scoparium sub-community",CG2,Festuca ovina-Avenula pratensis grassland,,CG,2,d,Dicranum scoparium sub-community
CG3 Bromus erectus grassland,CG3,Bromus erectus grassland,CG3,Bromus erectus grassland,B. erectus grassland,CG,3,,
"CG3a Bromus erectus grassland, typical sub-community",CG3a,"Bromus erectus grassland, typical sub-community",CG3,Bromus erectus grassland,,CG,3,a,typical sub-community
"CG3b Bromus erectus grassland, Centaurea nigra sub-community",CG3b,"Bromus erectus grassland, Centaurea nigra sub-community",CG3,Bromus erectus grassland,,CG,3,b,Centaurea nigra sub-community
"CG3c Bromus erectus grassland, Knautia arvensis-Bellis perennis sub-community",CG3c,"Bromus erectus grassland, Knautia arvensis-Bellis perennis sub-community",CG3,Bromus erectus grassland,,CG,3,c,Knautia arvensis-Bellis perennis sub-community
"CG3d Bromus erectus grassland, Festuca rubra-Festuca arundinacea sub-community",CG3d,"Bromus erectus grassland, Festuca rubra-Festuca arundinacea sub-community",CG3,Bromus erectus grassland,,CG,3,d,Festuca rubra-Festuca arundinacea sub-community
CG4 Brachypodium pinnatum grassland,CG4,Brachypodium pinnatum grassland,CG4,Brachypodium pinnatum grassland,Brachypodium pinnatum grassland,CG,4,,
"CG4a Brachypodium pinnatum grassland, Avenula pratensis-Thymus praecox sub-community",CG4a,"Brachypodium pinnatum grassland, Avenula pratensis-Thymus praecox sub-community",CG4,Brachypodium pinnatum grassland,,CG,4,a,Avenula pratensis-Thymus praecox sub-community
"CG4b Brachypodium pinnatum grassland, Centaurea nigra-Leontodon hispidus sub-community",CG4b,"Brachypodium pinnatum grassland, Centaurea nigra-Leontodon hispidus sub-community",CG4,Brachypodium pinnatum grassland,,CG,4,b,Centaurea nigra-Leontodon hispidus sub-community
"CG4c Brachypodium pinnatum grassland, Holcus lanatus sub-community",CG4c,"Brachypodium pinnatum grassland, Holcus lanatus sub-community",CG4,Brachypodium pinnatum grassland,,CG,4,c,Holcus lanatus sub-community
