IDREG,INFORMAL_GROUP,ADDITIONAL_GROUP,CONCEPT,NAME,NAME_ENGLISH,RANK,OLD_BRC_CODE
113834,"alga","red alga","Alg_6595","?Lithothamnion",,"Genus",
415,"alga","brown alga","Alg_1023","Acinetospora",,"Genus","0712  1000"
416,"alga","brown alga","Alg_1024","Acinetospora crinita",,"Species","0712  1001"
418,"alga","brown alga","Alg_1025","Acinetosporaceae",,"Family","071240"
614,"alga","green alga","Alg_1026","Acrochaete",,"Genus","0711  2200"
615,"alga","green alga","Alg_1027","Acrochaete heteroclada",,"Species","0711  2204"
616,"alga","green alga","Alg_1028","Acrochaete operculata",,"Species","0711  2205"
618,"alga","green alga","Alg_1029","Acrochaete repens",,"Species","0711  2201"
619,"alga","green alga","Alg_1030","Acrochaete viridis",,"Species","0711  2202"
620,"alga","green alga","Alg_1031","Acrochaete wittrockii",,"Species","0711  2203"
621,"alga","red alga","Alg_1032","Acrochaetiaceae",,"Family","071460"
622,"alga",,"Alg_1033","Acrochaetiales",,"Order","0714 150"
623,"alga","red alga","Alg_1034","Acrochaetium",,"Genus","0714  1500"
624,"alga","red alga","Alg_1035","Acrochaetium alariae",,"Species","0714  1501"
626,"alga","red alga","Alg_1036","Acrochaetium battersianum",,"Species","0714  1503"
628,"alga","red alga","Alg_1037","Acrochaetium brebneri",,"Species","0714  1505"
630,"alga","red alga","Alg_1038","Acrochaetium chylocladiae",,"Species","0714  1507"
631,"alga","red alga","Alg_1039","Acrochaetium corymbiferum",,"Species","0714  1508"
633,"alga","red alga","Alg_1040","Acrochaetium efflorescens",,"Species","0714  1510"
635,"alga","red alga","Alg_1041","Acrochaetium endozoicum",,"Species","0714  1512"
636,"alga","red alga","Alg_1042","Acrochaetium infestans",,"Species","0714  1513"
637,"alga","red alga","Alg_1043","Acrochaetium lorrain-smithiae",,"Species","0714  1514"
638,"alga","red alga","Alg_1044","Acrochaetium microscopicum",,"Species","0714  1515"
639,"alga","red alga","Alg_1045","Acrochaetium minimum",,"Species","0714  1516"
640,"alga","red alga","Alg_1046","Acrochaetium nemalii",,"Species","0714  1517"
641,"alga","red alga","Alg_1047","Acrochaetium parvulum",,"Species","0714  1518"
642,"alga","red alga","Alg_1048","Acrochaetium rosulatum",,"Species","0714  1519"
643,"alga","red alga","Alg_1049","Acrochaetium sanctae-mariae",,"Species","0714  1520"
644,"alga","red alga","Alg_1050","Acrochaetium savianum",,"Species","0714  1521"
645,"alga","red alga","Alg_1051","Acrochaetium scapae",,"Species","0714  1522"
646,"alga","red alga","Alg_1052","Acrochaetium secundatum",,"Species","0714  1523"
647,"alga","red alga","Alg_1053","Acrochaetium seiriolanum",,"Species","0714  1524"
648,"alga","red alga","Alg_1054","Acrochaetium sparsum",,"Species","0714  1525"
649,"alga","red alga","Alg_1055","Acrochaetium trifila",,"Species","0714  1527"
650,"alga","red alga","Alg_1056","Acrochaetium virgatulum",,"Species","0714  1526"
733,"alga","green alga","Alg_1057","Acrosiphonia",,"Genus","0711  2700"
734,"alga","green alga","Alg_1058","Acrosiphonia arcta",,"Species","0711  2701"
735,"alga","green alga","Alg_1059","Acrosiphonia sonderi",,"Species","0711  2702"
736,"alga","green alga","Alg_1060","Acrosiphoniaceae",,"Family","0711120"
737,"alga",,"Alg_2332","Acrosiphoniales",,"Order","0711 170"
738,"alga","red alga","Alg_1061","Acrosorium",,"Genus","0714 14000"
740,"alga","red alga","Alg_1062","Acrosorium venulosum",,"Species","0714 14001"
748,"alga","brown alga","Alg_1063","Acrothrix",,"Genus","0712  1500"
749,"alga","brown alga","Alg_1064","Acrothrix gracilis",,"Species","0712  1501"
813,"alga","dinoflagellate","Alg_1065","Actiniscaceae",,"Family","021035"
814,"alga","dinoflagellate","Alg_2333","Actiniscales",,"Order","0210 135"
113835,"alga","red alga","Alg_6596","Actinococcus",,"Genus",
819,"alga","dinoflagellate","Alg_1066","Actinodinium",,"Genus","0210   100"
820,"alga","dinoflagellate","Alg_2334","Actinodinium apsteinii",,"Species","0210   101"
1358,"alga","red alga","Alg_1067","Aglaothamnion",,"Genus","0714 10700"
1359,"alga","red alga","Alg_1068","Aglaothamnion bipinnatum",,"Species","0714 10701"
1361,"alga","red alga","Alg_1069","Aglaothamnion diaphanum",,"Species","0714 10702"
1362,"alga","red alga","Alg_1070","Aglaothamnion feldmanniae",,"Species","0714 10703"
1364,"alga","red alga","Alg_1071","Aglaothamnion gallicum",,"Species","0714 10704"
1365,"alga","red alga","Alg_1072","Aglaothamnion hookeri",,"Species","0714 10705"
1366,"alga","red alga","Alg_1073","Aglaothamnion priceanum",,"Species","0714 10706"
1367,"alga","red alga","Alg_1074","Aglaothamnion pseudobyssoides",,"Species","0714 10707"
1368,"alga","red alga","Alg_1075","Aglaothamnion roseum",,"Species","0714 10708"
1369,"alga","red alga","Alg_1076","Aglaothamnion sepositum",,"Species","0714 10709"
1370,"alga","red alga","Alg_1077","Aglaothamnion tenuissimum",,"Species","0714 10710"
1371,"alga","red alga","Alg_1078","Aglaothamnion tripinnatum",,"Species","0714 10711"
113836,"alga","brown alga","Alg_6597","Aglaozonia",,"Genus",
1758,"alga","red alga","Alg_1079","Ahnfeltia",,"Genus","0714  2300"
1759,"alga","red alga","Alg_1080","Ahnfeltia plicata",,"Species","0714  2301"
1760,"alga","red alga","Alg_1081","Ahnfeltiaceae",,"Family","0714100"
1761,"alga",,"Alg_1082","Ahnfeltiales",,"Order","0714 170"
1762,"alga","red alga","Alg_1083","Ahnfeltiopsis",,"Genus","0714  8800"
1763,"alga","red alga","Alg_1084","Ahnfeltiopsis devoniensis",,"Species","0714  8801"
1809,"alga","brown alga","Alg_1085","Alaria",,"Genus","0712  8300"
1810,"alga","brown alga","Alg_1086","Alaria esculenta",,"Species","0712  8301"
1811,"alga","brown alga","Alg_1087","Alariaceae",,"Family","0712140"
114948,"alga","dinoflagellate","Alg_6656","Alexandrium catenella",,"Species",
2019,"alga",,"Alg_2335","Algae(group not known)",,"Phylum","0710"
2806,"alga","dinoflagellate","Alg_2336","Amoebophrya",,"Genus","0210  6200"
2807,"alga","dinoflagellate","Alg_2337","Amoebophrya ceratii",,"Species","0210  6201"
2808,"alga","dinoflagellate","Alg_2338","Amoebophryaceae",,"Family","0210320"
2841,"alga","dinoflagellate","Alg_1088","Amphidinium",,"Genus","0210   200"
2842,"alga","dinoflagellate","Alg_1089","Amphidinium amphidinioides",,"Species","0210   201"
2844,"alga","dinoflagellate","Alg_2339","Amphidinium bipes",,"Species","0210   202"
2845,"alga","dinoflagellate","Alg_1090","Amphidinium britannicum",,"Species","0210   203"
2846,"alga","dinoflagellate","Alg_2340","Amphidinium carbunculus",,"Species","0210   204"
2847,"alga","dinoflagellate","Alg_1091","Amphidinium carterae",,"Species","0210   205"
2848,"alga","dinoflagellate","Alg_2341","Amphidinium celestinum",,"Species","0210   206"
2849,"alga","dinoflagellate","Alg_2342","Amphidinium coeruleum",,"Species","0210   207"
2850,"alga","dinoflagellate","Alg_2343","Amphidinium conradii",,"Species","0210   208"
2851,"alga","dinoflagellate","Alg_2344","Amphidinium corallinum",,"Species","0210   209"
2852,"alga","dinoflagellate","Alg_2345","Amphidinium corpulentum",,"Species","0210   257"
2853,"alga","dinoflagellate","Alg_1092","Amphidinium crassum",,"Species","0210   210"
2854,"alga","dinoflagellate","Alg_2346","Amphidinium cristatum",,"Species","0210   211"
2855,"alga","dinoflagellate","Alg_2347","Amphidinium cyaneoturbo",,"Species","0210   212"
2856,"alga","dinoflagellate","Alg_2348","Amphidinium discoidale",,"Species","0210   213"
2857,"alga","dinoflagellate","Alg_2349","Amphidinium dubium",,"Species","0210   214"
2858,"alga","dinoflagellate","Alg_2350","Amphidinium eludens",,"Species","0210   215"
2859,"alga","dinoflagellate","Alg_2351","Amphidinium emarginatum",,"Species","0210   216"
2860,"alga","dinoflagellate","Alg_2352","Amphidinium flexum",,"Species","0210   217"
2861,"alga","dinoflagellate","Alg_1093","Amphidinium glaucum",,"Species","0210   218"
2862,"alga","dinoflagellate","Alg_2353","Amphidinium globosum",,"Species","0210   258"
2863,"alga","dinoflagellate","Alg_1094","Amphidinium herdmanii",,"Species","0210   219"
2864,"alga","dinoflagellate","Alg_2354","Amphidinium hoefleri",,"Species","0210   220"
2865,"alga","dinoflagellate","Alg_2355","Amphidinium kesslitzii",,"Species","0210   221"
2866,"alga","dinoflagellate","Alg_2356","Amphidinium klebsii",,"Species","0210   222"
2867,"alga","dinoflagellate","Alg_2357","Amphidinium kofoidii",,"Species","0210   223"
2868,"alga","dinoflagellate","Alg_2358","Amphidinium lacustre",,"Species","0210   224"
2869,"alga","dinoflagellate","Alg_2359","Amphidinium latum",,"Species","0210   225"
2870,"alga","dinoflagellate","Alg_2360","Amphidinium lilloense",,"Species","0210   226"
2871,"alga","dinoflagellate","Alg_2361","Amphidinium longum",,"Species","0210   227"
2872,"alga","dinoflagellate","Alg_2362","Amphidinium macrocephalum",,"Species","0210   228"
2873,"alga","dinoflagellate","Alg_2363","Amphidinium mammillatum",,"Species","0210   229"
2874,"alga","dinoflagellate","Alg_2364","Amphidinium manannini",,"Species","0210   230"
2875,"alga","dinoflagellate","Alg_1095","Amphidinium operculatum",,"Species","0210   231"
2876,"alga","dinoflagellate","Alg_2365","Amphidinium operculatum var. minutum",,"Variety","0210   260"
2877,"alga","dinoflagellate","Alg_2366","Amphidinium operculatum var. operculatum",,"Variety","0210   259"
2878,"alga","dinoflagellate","Alg_2367","Amphidinium ornithocephalum",,"Species","0210   232"
2879,"alga","dinoflagellate","Alg_2368","Amphidinium ovoideum",,"Species","0210   233"
2880,"alga","dinoflagellate","Alg_2369","Amphidinium ovum",,"Species","0210   234"
2881,"alga","dinoflagellate","Alg_2370","Amphidinium pelagicum",,"Species","0210   235"
2882,"alga","dinoflagellate","Alg_2371","Amphidinium pellucidum",,"Species","0210   236"
2883,"alga","dinoflagellate","Alg_2372","Amphidinium phaeocysticola",,"Species","0210   237"
2884,"alga","dinoflagellate","Alg_2373","Amphidinium phthartum",,"Species","0210   238"
2885,"alga","dinoflagellate","Alg_2374","Amphidinium prismaticum",,"Species","0210   239"
2886,"alga","dinoflagellate","Alg_2375","Amphidinium psammophila",,"Species","0210   240"
2887,"alga","dinoflagellate","Alg_2376","Amphidinium pseudogalbanum",,"Species","0210   241"
2888,"alga","dinoflagellate","Alg_2377","Amphidinium purpureum",,"Species","0210   242"
2889,"alga","dinoflagellate","Alg_2378","Amphidinium salinum",,"Species","0210   243"
2890,"alga","dinoflagellate","Alg_2379","Amphidinium scissoides",,"Species","0210   244"
2891,"alga","dinoflagellate","Alg_2380","Amphidinium scissum",,"Species","0210   245"
2892,"alga","dinoflagellate","Alg_2381","Amphidinium semilunatum",,"Species","0210   246"
2893,"alga","dinoflagellate","Alg_1096","Amphidinium sphenoides",,"Species","0210   247"
2894,"alga","dinoflagellate","Alg_2382","Amphidinium steinii",,"Species","0210   248"
2895,"alga","dinoflagellate","Alg_2383","Amphidinium stellatum",,"Species","0210   249"
2896,"alga","dinoflagellate","Alg_2384","Amphidinium sulcatum",,"Species","0210   250"
2897,"alga","dinoflagellate","Alg_2385","Amphidinium testudo",,"Species","0210   251"
2898,"alga","dinoflagellate","Alg_2386","Amphidinium tortum",,"Species","0210   252"
2899,"alga","dinoflagellate","Alg_2387","Amphidinium trochodiniodes",,"Species","0210   253"
2900,"alga","dinoflagellate","Alg_2388","Amphidinium vigrense",,"Species","0210   254"
2901,"alga","dinoflagellate","Alg_2389","Amphidinium vitreum",,"Species","0210   255"
2902,"alga","dinoflagellate","Alg_2390","Amphidinium vittatum",,"Species","0210   256"
2907,"alga","dinoflagellate","Alg_1097","Amphidoma",,"Genus","0210   300"
2908,"alga","dinoflagellate","Alg_2391","Amphidoma acuminata",,"Species","0210   301"
2909,"alga","dinoflagellate","Alg_1098","Amphidoma caudata",,"Species","0210   302"
2910,"alga","dinoflagellate","Alg_2392","Amphidomataceae",,"Family","0210130"
2949,"alga","dinoflagellate","Alg_1099","Amphisolenia",,"Genus","0210   400"
2950,"alga","dinoflagellate","Alg_2393","Amphisolenia globifera",,"Species","0210   401"
2951,"alga","dinoflagellate","Alg_2394","Amphisolenia inflata",,"Species","0210   402"
3795,"alga","red alga","Alg_1100","Anotrichium",,"Genus","0714 11700"
3796,"alga","red alga","Alg_1101","Anotrichium barbatum","Bearded Red Seaweed","Species","0714 11701"
3797,"alga","red alga","Alg_1102","Anotrichium furcellatum",,"Species","0714 11702"
4189,"alga",,"Alg_2395","Antithamnieae",,"Tribe","0714430.21"
4190,"alga","red alga","Alg_1103","Antithamnion",,"Genus","0714 11200"
4192,"alga","red alga","Alg_1104","Antithamnion cruciatum",,"Species","0714 11201"
4193,"alga","red alga","Alg_1105","Antithamnion densum",,"Species","0714 11202"
114959,"alga","red alga","Alg_6657","Antithamnion nipponicum",,"Species",
4197,"alga","red alga","Alg_1106","Antithamnion villosum",,"Species","0714 11203"
4198,"alga","red alga","Alg_1107","Antithamnionella",,"Genus","0714 12000"
4199,"alga","red alga","Alg_1108","Antithamnionella floccosa",,"Species","0714 12001"
4201,"alga","red alga","Alg_1109","Antithamnionella spirographidis",,"Species","0714 12002"
4202,"alga","red alga","Alg_1110","Antithamnionella ternifolia",,"Species","0714 12003"
5090,"alga",,"Alg_2396","Apoglosseae",,"Tribe","0714430.51"
5091,"alga","red alga","Alg_1111","Apoglossocolax",,"Genus","0714 13300"
5092,"alga","red alga","Alg_1112","Apoglossocolax pusilla",,"Species","0714 13301"
5093,"alga","red alga","Alg_1113","Apoglossum",,"Genus","0714 13400"
5094,"alga","red alga","Alg_1114","Apoglossum ruscifolium",,"Species","0714 13401"
5587,"alga","red alga","Alg_1115","Areschougiaceae",,"Family","0714210"
5991,"alga","brown alga","Alg_1116","Arthrocladia",,"Genus","0712  8100"
5992,"alga","brown alga","Alg_1117","Arthrocladia villosa",,"Species","0712  8101"
5993,"alga","brown alga","Alg_1118","Arthrocladiaceae",,"Family","0712120"
113837,"alga","brown alga","Alg_6598","Ascocyclus",,"Genus",
6175,"alga","brown alga","Alg_1119","Ascophyllum",,"Genus","0712  9200"
6177,"alga","brown alga","Alg_1120","Ascophyllum nodosum",,"Species","0712  9201"
6178,"alga","brown alga","Alg_1121","Ascophyllum nodosum var. mackayi",,"Variety","0712  9201.1"
6235,"alga","red alga","Alg_1122","Asparagopsis",,"Genus","0714  3400"
6236,"alga","red alga","Alg_1123","Asparagopsis armata",,"Species","0714  3401"
6242,"alga","brown alga","Alg_1124","Asperococcus",,"Genus","0712  1600"
6243,"alga","brown alga","Alg_1125","Asperococcus bullosus",,"Species","0712  1601"
6244,"alga","brown alga","Alg_1126","Asperococcus compressus",,"Species","0712  1602"
6245,"alga","brown alga","Alg_1127","Asperococcus fistulosus",,"Species","0712  1603"
6246,"alga","brown alga","Alg_1128","Asperococcus scaber",,"Species","0712  1604"
6521,"alga","red alga","Alg_1129","Asterocolax",,"Genus","0714 14400"
6522,"alga","red alga","Alg_1130","Asterocolax erythroglossi",,"Species","0714 14401"
113838,"alga","red alga","Alg_6599","Asterocytis",,"Genus",
7001,"alga","red alga","Alg_1131","Atractophora",,"Genus","0714  3600"
7002,"alga","red alga","Alg_1132","Atractophora hypnoides",,"Species","0714  3601"
113839,"alga","red alga","Alg_6600","Audouinella",,"Genus",
7233,"alga","dinoflagellate","Alg_1133","Aureodinium",,"Genus","0210   500"
7234,"alga","dinoflagellate","Alg_1134","Aureodinium pigmentosum",,"Species","0210   501"
7248,"alga",,"Alg_2397","Austrolithoideae",,"Subfamily","0714200.1"
7614,"alga","red alga","Alg_1135","Bangia",,"Genus","0714  1300"
7615,"alga","red alga","Alg_1136","Bangia atropurpurea",,"Species","0714  1301"
7617,"alga","red alga","Alg_1137","Bangiaceae",,"Family","071450"
7618,"alga",,"Alg_1138","Bangiales",,"Order","0714 140"
7619,"alga",,"Alg_1139","Bangiophycidae",,"Subclass","0714  1.1"
113840,"alga","brown alga","Alg_6601","Battersia",,"Genus",
8213,"alga","dinoflagellate","Alg_2398","Bernardinium",,"Genus","0210   600"
8214,"alga","dinoflagellate","Alg_2399","Bernardinium thiophilum",,"Species","0210   601"
8381,"alga","brown alga","Alg_1140","Bifurcaria",,"Genus","0712  8900"
8382,"alga","brown alga","Alg_1141","Bifurcaria bifurcata",,"Species","0712  8901"
8543,"alga","dinoflagellate","Alg_1142","Blastodiniaceae",,"Family","0210270"
8544,"alga","dinoflagellate","Alg_1143","Blastodiniales",,"Order","0210 200"
8545,"alga","dinoflagellate","Alg_1144","Blastodinium",,"Genus","0210   700"
8546,"alga","dinoflagellate","Alg_2400","Blastodinium contortum",,"Species","0210   701"
8547,"alga","dinoflagellate","Alg_2401","Blastodinium hyalinum",,"Species","0210   702"
8548,"alga","dinoflagellate","Alg_2402","Blastodinium pruvotii",,"Species","0210   703"
8556,"alga","green alga","Alg_1145","Blastophysa",,"Genus","0711  3500"
8557,"alga","green alga","Alg_1146","Blastophysa rhizopus",,"Species","0711  3501"
8620,"alga","dinoflagellate","Alg_1147","Blepharocysta",,"Genus","0210  8000"
8621,"alga","dinoflagellate","Alg_2403","Blepharocysta ? paulsenii",,"Species","0210  8001"
8622,"alga","dinoflagellate","Alg_2404","Blepharocysta schilleri",,"Species","0210  8002"
8623,"alga","dinoflagellate","Alg_2405","Blepharocysta schilleri forma gibba",,"Form","0210  8003"
8624,"alga","dinoflagellate","Alg_2406","Blepharocysta splendor-maris",,"Species","0210  8004"
8639,"alga","green alga","Alg_1148","Blidingia",,"Genus","0711  1800"
8640,"alga","green alga","Alg_1149","Blidingia chadefaudii",,"Species","0711  1801"
8641,"alga","green alga","Alg_1150","Blidingia marginata",,"Species","0711  1802"
8642,"alga","green alga","Alg_1151","Blidingia minima",,"Species","0711  1803"
8663,"alga","red alga","Alg_1152","Boergeseniella",,"Genus","0714 14900"
8664,"alga","red alga","Alg_1153","Boergeseniella fruticulosa",,"Species","0714 14901"
8665,"alga","red alga","Alg_1154","Boergeseniella thuyoides",,"Species","0714 14902"
8680,"alga","green alga","Alg_1155","Bolbocoleon",,"Genus","0711   700"
8681,"alga","green alga","Alg_1156","Bolbocoleon piliferum",,"Species","0711   701"
8824,"alga","red alga","Alg_1157","Bonnemaisonia",,"Genus","0714  3500"
8825,"alga","red alga","Alg_1158","Bonnemaisonia asparagoides",,"Species","0714  3501"
8826,"alga","red alga","Alg_1159","Bonnemaisonia clavata",,"Species","0714  3502"
8827,"alga","red alga","Alg_1160","Bonnemaisonia hamifera",,"Species","0714  3503"
