taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0000309365,family,Anthocerotaceae,Dum.,,,Native,,,,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NBNSYS0000036061,species,Anthoceros punctatus,L.,,Dotted Hornwort,Native,,Anthoceros,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NHMSYS0000310891,species aggregate,Phaeoceros laevis,,sensu lato,,Native,,Phaeoceros,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NHMSYS0000310267,genus,Phaeoceros,Prosk.,,,Native,,,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NBNSYS0000036065,species,Phaeoceros laevis,(L.) Prosk.,,Smooth Hornwort,Native,,Phaeoceros,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NBNSYS0000153517,species,Phaeoceros carolinianus,(Michx.) Prosk.,,Carolina Hornwort,Native,,Phaeoceros,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NBNSYS0000036062,species,Anthoceros agrestis,Paton,,Field Hornwort,Native,,Anthoceros,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NHMSYS0000065721,order,Anthocerotales,,,,Native,,,,,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
NHMSYS0000065722,class,Anthocerotopsida,,,,Native,,,,,,Anthocerotophyta,Plantae,UKSI
NHMSYS0000309361,genus,Anthoceros,L.,,,Native,,,Anthocerotaceae,Anthocerotales,Anthocerotopsida,Anthocerotophyta,Plantae,UKSI
