taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0021616531,species,Myurella julacea,(Schwägr.) Schimp.,,Small Mouse-tail Moss,Native,terrestrial,Myurella,Plagiotheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021601227,genus,Plenogemma,"Plášek, Sawicki & Ochyra",,,Native,terrestrial/freshwater,,Orthotrichaceae,Orthotrichales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0020978999,species,Crossidium squamiferum,(Viv.) Jur.,,,Native,,Crossidium,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309781,genus,Diphyscium,D.Mohr,,,Native,,,Diphysciaceae,Diphysciales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310519,genus,Pterogonium,Sw.,,,Native,,,Leucodontaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310651,family,Sphagnaceae,Dumort.,,,Native,,,,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036678,species,Philonotis rigida,Brid.,,Rigid Apple-moss,Native,freshwater,Philonotis,Bartramiaceae,Bartramiales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021177844,species,Scleropodium touretii,(Brid.) L.F.Koch,,Glass-wort Feather-moss,Native,,Scleropodium,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021595342,species,Bryum concinnatum,Spruce,,,Native,terrestrial,Bryum,Bryaceae,Bryales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000309970,species,Grimmia elongata,Kaulf.,,Brown Grimmia,Native,,Grimmia,Grimmiaceae,Grimmiales,Bryopsida,Bryophyta,Plantae,UKSI
NBNSYS0000036326,species,Aloina brevirostris,(Hook. & Grev.) Kindb.,,Short-beaked Aloe-moss,Native,,Aloina,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021593227,species,Stereodon hamulosus,(Schimp.) Lindb.,,Hook-leaved Plait-moss,Native,terrestrial,Stereodon,Stereodontaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310521,species,Pterygoneurum ovatum,(Hedw.) Dixon,,Oval-leaved Pottia,Native,,Pterygoneurum,Pottiaceae,Dicranales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310526,genus,Ptilium,De Not.,,,Native,marine/terrestrial,,Pylaisiaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0021600417,species aggregate,Sphagnum capillifolium,(Ehrh.) Hedw.,s.l.,Acute-leaved Bog-moss,Native,terrestrial/freshwater,Sphagnum,Sphagnaceae,Sphagnales,Sphagnopsida,Bryophyta,Plantae,UKSI
NHMSYS0021595332,species,Microeurhynchium pumilum,(Wilson) Ignatov & Vanderpoorten,,Dwarf Feather-moss,Native,terrestrial/freshwater,Microeurhynchium,Brachytheciaceae,Hypnales,Bryopsida,Bryophyta,Plantae,UKSI
NHMSYS0000310157,genus,Leptobryum,Wilson,,,Native,,,Meesiaceae,Splachnales,Bryopsida,Bryophyta,Plantae,UKSI
