taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0021597892,species,Mesoptychia gillmanii,(Austin) L.Söderstr. & Váňa,,,Native,terrestrial,Mesoptychia,Jungermanniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021596202,species,Gymnomitrion adustum,Nees,,Scorched Rustwort,Native,terrestrial/freshwater,Gymnomitrion,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020636803,species,Fossombronia caespitiformis,De Not. ex Rabenh.,s.l.,Spanish/Husnot’s Frillwort,Native,freshwater,Fossombronia,Fossombroniaceae,Fossombroniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021601087,family,Hygrobiellaceae,Konstant. & Vilnet,,,Native,terrestrial/freshwater,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310424,family,Pelliaceae,Klinggr.,,,Native,,,,Pelliales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035998,subspecies,Lejeunea flava subsp. moorei,(Lindb.) Schust.,,,Native,,Lejeunea,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000036027,species,Blasia pusilla,L.,,Common Kettlewort,Native,freshwater,Blasia,Blasiaceae,Blasiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310296,species,Plagiochila carringtonii,(Balf.) Grolle,,Carrington's Featherwort,Native,,Plagiochila,Plagiochilaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035801,species,Cephalozia connivens,(Dicks.) Lindb.,,Forcipated Pincerwort,Native,freshwater,Cephalozia,Cephaloziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035797,species,Cephalozia leucantha,Spruce,,Pale Pincerwort,Native,freshwater,Cephalozia,Cephaloziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309583,genus,Cephalozia,(Dumort.) Dumort.,,,Native,freshwater,,Cephaloziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000157093,species,Sphenolobus minutus,(Schreb.) Berggr.,,Comb Notchwort,Native,,Sphenolobus,Anastrophyllaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310119,family,Jungermanniaceae,Reichenb.,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000156891,species,Solenostoma paroicum,(Schiffn.) Schust.,,Shining Flapwort,Native,freshwater,Solenostoma,Solenostomataceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310522,family,Ptilidiaceae,Klinggr.,,,Native,,,,Ptilidiales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959437,order,Ptilidiales,,,,Native,,,,,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959426,family,Lophocoleaceae,,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000036045,species,Dumortiera hirsuta,(Sw.) Nees,,Dumortier's Liverwort,Native,freshwater,Dumortiera,Dumortieraceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309946,family,Marchantiaceae,(Bisch.) Lindley,,,Native,,,,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0100009936,species,Cephaloziella massalongoi,(Spruce) Müll.Frib.,,Lesser Copperwort,Native,,Cephaloziella,Cephaloziellaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
