"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Asplenium trichomanes L."	"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	2	2	"Asplenium trichomanes"				
"Asplenium viride Huds."	"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	3	3	"Asplenium viride"				
"Dryopteris aemula (Aiton) Kuntze"	"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	3	3	"Dryopteris aemula"				
"Hymenophyllum wilsonii Hook."	"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	3	3	"Hymenophyllum wilsonii"				
"Isoetes echinospora Durieu"	"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	2	2	"Isoetes echinospora"				
"Selaginella selaginoides (L.) P.Beauv."	"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	2	2	"Selaginella selaginoides"				
"Aconitum napellus L."	"2cd4p9h.dn"	"2cd4p9h.dn"	"Aconitum napellus L."	6	6	"Aconitum napellus"				
"Actaea spicata L."	"2cd4p9h.dt"	"2cd4p9h.dt"	"Actaea spicata L."	6	6	"Actaea spicata"				
"Aegopodium podagraria L."	"2cd4p9h.e4"	"2cd4p9h.e4"	"Aegopodium podagraria L."	7	7	"Aegopodium podagraria"				
"Aira praecox L."	"2cd4p9h.f0"	"2cd4p9h.f0"	"Aira praecox L."	2	2	"Aira praecox"				
"Alchemilla minima Walters"	"2cd4p9h.f9"	"2cd4p9h.f9"	"Alchemilla minima Walters"	3	3	"Alchemilla minima"				
"Allium roseum L."	"2cd4p9h.ff"	"2cd4p9h.ff"	"Allium roseum L."	5	5	"Allium roseum"				
"Allium scorodoprasum L."	"2cd4p9h.fv"	"2cd4p9h.fv"	"Allium scorodoprasum L."	7	7	"Allium scorodoprasum"				
"Althaea officinalis L."	"2cd4p9h.fz"	"2cd4p9h.fz"	"Althaea officinalis L."	4	4	"Althaea officinalis"				
"Amaranthus albus L."	"2cd4p9h.g5"	"2cd4p9h.g5"	"Amaranthus albus L."	7	7	"Amaranthus albus"				
"Andromeda polifolia L."	"2cd4p9h.gn"	"2cd4p9h.gn"	"Andromeda polifolia L."	1	1	"Andromeda polifolia"				
"Anemone nemorosa L."	"2cd4p9h.gt"	"2cd4p9h.gt"	"Anemone nemorosa L."	4	4	"Anemone nemorosa"				
"Aphanes arvensis L. s.s."	"2cd4p9h.hg"	"2cd4p9h.hg"	"Aphanes arvensis L. s.s."	4	4	"Aphanes arvensis"	"s.s."			
"Arabis hirsuta (L.) Scop."	"2cd4p9h.hm"	"2cd4p9h.hm"	"Arabis hirsuta (L.) Scop."	3	3	"Arabis hirsuta"				
"Arenaria ciliata L."	"2cd4p9h.v9"	"2cd4p9h.v9"	"Arenaria ciliata L."	2	2	"Arenaria ciliata"				
"Arenaria serpyllifolia L. s.s."	"2cd4p9h.vc"	"2cd4p9h.vc"	"Arenaria serpyllifolia L. s.s."	5	5	"Arenaria serpyllifolia"	"s.s."			
