"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."	"scarce"	"2cd4p9h.b1"	"2cd4p9h.b1"	"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."	"Asplenium trichomanes subsp. pachyrachis"		"Asplenium trichomanes subsp. pachyrachis"				
"Trichomanes speciosum Willd. (sporophyte)"	"scarce"	"2cd4p9h.c3"	"2cd4p9h.c3"	"Trichomanes speciosum Willd. (sporophyte)"	"Trichomanes speciosum"	"(sporophyte)"	"Trichomanes speciosum"	"(sporophyte)"			
"Actaea spicata L."	"rare"	"2cd4p9h.dt"	"2cd4p9h.dt"	"Actaea spicata L."	"Actaea spicata"		"Actaea spicata"				
"Althaea officinalis L."	"scarce"	"2cd4p9h.fz"	"2cd4p9h.fz"	"Althaea officinalis L."	"Althaea officinalis"		"Althaea officinalis"				
"Artemisia campestris L."	"rare"	"2cd4p9h.w5"	"2cd4p9h.w5"	"Artemisia campestris L."	"Artemisia campestris"		"Artemisia campestris"				
"Arum italicum subsp. neglectum (F.Towns.) Prime"	"scarce"	"2cd4p9h.wh"	"2cd4p9h.wh"	"Arum italicum subsp. neglectum (F.Towns.) Prime"	"Arum italicum subsp. neglectum"		"Arum italicum subsp. neglectum"				
"Briza minor L."	"scarce"	"2cd4p9h.kp"	"2cd4p9h.kp"	"Briza minor L."	"Briza minor"		"Briza minor"				
"Bromopsis benekenii (Lange) Holub"	"scarce"	"2cd4p9h.x0"	"2cd4p9h.x0"	"Bromopsis benekenii (Lange) Holub"	"Bromopsis benekenii"		"Bromopsis benekenii"				
"Carex appropinquata Schumach."	"scarce"	"2cd4p9h.nd"	"2cd4p9h.nd"	"Carex appropinquata Schumach."	"Carex appropinquata"		"Carex appropinquata"				
"Carex maritima Gunnerus"	"scarce"	"2cd4p9h.nm"	"2cd4p9h.nm"	"Carex maritima Gunnerus"	"Carex maritima"		"Carex maritima"				
"Carex rupestris Bellardi ex All."	"scarce"	"2cd4p9h.y3"	"2cd4p9h.y3"	"Carex rupestris Bellardi ex All."	"Carex rupestris"		"Carex rupestris"				
"Carex vaginata Tausch"	"scarce"	"2cd4p9h.y9"	"2cd4p9h.y9"	"Carex vaginata Tausch"	"Carex vaginata"		"Carex vaginata"				
"Centaurium littorale (Turner ex Sm.) Gilmour"	"scarce"	"2cd4p9h.yr"	"2cd4p9h.yr"	"Centaurium littorale (Turner ex Sm.) Gilmour"	"Centaurium littorale"		"Centaurium littorale"				
"Cochlearia officinalis subsp. scotica (Druce) P.S.Wyse Jacks."	"scarce"	"2cd4p9h.qm"	"2cd4p9h.qm"	"Cochlearia officinalis subsp. scotica (Druce) P.S.Wyse Jacks."	"Cochlearia officinalis subsp. scotica"		"Cochlearia officinalis subsp. scotica"				
"Corrigiola litoralis L."	"rare"	"2cd4p9h.r3"	"2cd4p9h.r3"	"Corrigiola litoralis L."	"Corrigiola litoralis"		"Corrigiola litoralis"				
"Physospermum cornubiense (L.) DC."	"rare"	"2cd4p9h.t7"	"2cd4p9h.t7"	"Physospermum cornubiense (L.) DC."	"Physospermum cornubiense"		"Physospermum cornubiense"				
"Fumaria vaillantii Loisel."	"scarce"	"2cd4p9h.12f"	"2cd4p9h.12f"	"Fumaria vaillantii Loisel."	"Fumaria vaillantii"		"Fumaria vaillantii"				
"Galium tricornutum Dandy"	"rare"	"2cd4p9h.138"	"2cd4p9h.138"	"Galium tricornutum Dandy"	"Galium tricornutum"		"Galium tricornutum"				
"Gentianella germanica (Willd.) Börner"	"rare"	"2cd4p9h.13q"	"2cd4p9h.13q"	"Gentianella germanica (Willd.) Börner"	"Gentianella germanica"		"Gentianella germanica"				
"Helianthemum apenninum (L.) Mill."	"rare"	"2cd4p9h.16b"	"2cd4p9h.16b"	"Helianthemum apenninum (L.) Mill."	"Helianthemum apenninum"		"Helianthemum apenninum"				
"Hypochaeris maculata L."	"rare"	"2cd4p9h.18c"	"2cd4p9h.18c"	"Hypochaeris maculata L."	"Hypochaeris maculata"		"Hypochaeris maculata"				
"Juncus alpinoarticulatus Chaix"	"scarce"	"2cd4p9h.19e"	"2cd4p9h.19e"	"Juncus alpinoarticulatus Chaix"	"Juncus alpinoarticulatus"		"Juncus alpinoarticulatus"				
"Juncus filiformis L."	"scarce"	"2cd4p9h.19h"	"2cd4p9h.19h"	"Juncus filiformis L."	"Juncus filiformis"		"Juncus filiformis"				
"Koenigia islandica L."	"rare"	"2cd4p9h.1aa"	"2cd4p9h.1aa"	"Koenigia islandica L."	"Koenigia islandica"		"Koenigia islandica"				
"Lathyrus palustris L."	"scarce"	"2cd4p9h.1b3"	"2cd4p9h.1b3"	"Lathyrus palustris L."	"Lathyrus palustris"		"Lathyrus palustris"				
"Leersia oryzoides (L.) Sw."	"rare"	"2cd4p9h.1bf"	"2cd4p9h.1bf"	"Leersia oryzoides (L.) Sw."	"Leersia oryzoides"		"Leersia oryzoides"				
"Linnaea borealis L."	"scarce"	"2cd4p9h.1da"	"2cd4p9h.1da"	"Linnaea borealis L."	"Linnaea borealis"		"Linnaea borealis"				
"Liparis loeselii (L.) Rich."	"rare"	"2cd4p9h.1dm"	"2cd4p9h.1dm"	"Liparis loeselii (L.) Rich."	"Liparis loeselii"		"Liparis loeselii"				
"Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt"	"scarce"	"2cd4p9h.1hc"	"2cd4p9h.1hc"	"Najas flexilis (Willd.) Rostk. & W.L.E.Schmidt"	"Najas flexilis"		"Najas flexilis"				
"Lysimachia thyrsiflora L."	"scarce"	"2cd4p9h.1hx"	"2cd4p9h.1hx"	"Lysimachia thyrsiflora L."	"Lysimachia thyrsiflora"		"Lysimachia thyrsiflora"				
"Nuphar pumila (Timm) DC."	"scarce"	"2cd4p9h.1hr"	"2cd4p9h.1hr"	"Nuphar pumila (Timm) DC."	"Nuphar pumila"		"Nuphar pumila"				
"Oenanthe silaifolia M.Bieb."	"scarce"	"2cd4p9h.1vb"	"2cd4p9h.1vb"	"Oenanthe silaifolia M.Bieb."	"Oenanthe silaifolia"		"Oenanthe silaifolia"				
