"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Trichomanes speciosum Willd. (sporophyte)"	"scarce"	"2cd4p9h.c3"	"2cd4p9h.c3"	"Trichomanes speciosum Willd. (sporophyte)"	"Trichomanes speciosum"	"(sporophyte)"	"Trichomanes speciosum"	"(sporophyte)"			
"Arenaria ciliata L."	"rare"	"2cd4p9h.v9"	"2cd4p9h.v9"	"Arenaria ciliata L."	"Arenaria ciliata"		"Arenaria ciliata"				
"Artemisia absinthium L."	"rare"	"2cd4p9h.w2"	"2cd4p9h.w2"	"Artemisia absinthium L."	"Artemisia absinthium"		"Artemisia absinthium"				
"Carex appropinquata Schumach."	"rare"	"2cd4p9h.nd"	"2cd4p9h.nd"	"Carex appropinquata Schumach."	"Carex appropinquata"		"Carex appropinquata"				
"Centaurium littorale (Turner ex Sm.) Gilmour"	"rare"	"2cd4p9h.yr"	"2cd4p9h.yr"	"Centaurium littorale (Turner ex Sm.) Gilmour"	"Centaurium littorale"		"Centaurium littorale"				
"Cochlearia officinalis subsp. scotica (Druce) P.S.Wyse Jacks."	"scarce"	"2cd4p9h.qm"	"2cd4p9h.qm"	"Cochlearia officinalis subsp. scotica (Druce) P.S.Wyse Jacks."	"Cochlearia officinalis subsp. scotica"		"Cochlearia officinalis subsp. scotica"				
"Galium sterneri Ehrend."	"scarce"	"2cd4p9h.12z"	"2cd4p9h.12z"	"Galium sterneri Ehrend."	"Galium sterneri"		"Galium sterneri"				
"Geranium pusillum L."	"scarce"	"2cd4p9h.14a"	"2cd4p9h.14a"	"Geranium pusillum L."	"Geranium pusillum"		"Geranium pusillum"				
"Inula salicina L."	"rare"	"2cd4p9h.192"	"2cd4p9h.192"	"Inula salicina L."	"Inula salicina"		"Inula salicina"				
"Juncus filiformis L."	"rare"	"2cd4p9h.19h"	"2cd4p9h.19h"	"Juncus filiformis L."	"Juncus filiformis"		"Juncus filiformis"				
"Lathyrus palustris L."	"scarce"	"2cd4p9h.1b3"	"2cd4p9h.1b3"	"Lathyrus palustris L."	"Lathyrus palustris"		"Lathyrus palustris"				
"Limosella aquatica L."	"scarce"	"2cd4p9h.1cn"	"2cd4p9h.1cn"	"Limosella aquatica L."	"Limosella aquatica"		"Limosella aquatica"				
"Linaria repens (L.) Mill."	"scarce"	"2cd4p9h.1d4"	"2cd4p9h.1d4"	"Linaria repens (L.) Mill."	"Linaria repens"		"Linaria repens"				
"Melilotus altissimus Thuill."	"scarce"	"2cd4p9h.1fn"	"2cd4p9h.1fn"	"Melilotus altissimus Thuill."	"Melilotus altissimus"		"Melilotus altissimus"				
"Mercurialis perennis L."	"rare"	"2cd4p9h.1ga"	"2cd4p9h.1ga"	"Mercurialis perennis L."	"Mercurialis perennis"		"Mercurialis perennis"				
"Ophrys insectifera L."	"scarce"	"2cd4p9h.1vn"	"2cd4p9h.1vn"	"Ophrys insectifera L."	"Ophrys insectifera"		"Ophrys insectifera"				
