"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Asplenium trichomanes L."		"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	"Asplenium trichomanes"	
"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."		"2cd4p9h.b1"	"2cd4p9h.b1"	"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."	"Asplenium trichomanes subsp. pachyrachis"	
"Asplenium viride Huds."		"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	"Asplenium viride"	
"Dryopteris aemula (Aiton) Kuntze"		"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	"Dryopteris aemula"	
"Hymenophyllum wilsonii Hook."		"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	"Hymenophyllum wilsonii"	
"Isoetes echinospora Durieu"		"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	"Isoetes echinospora"	
"Selaginella selaginoides (L.) P.Beauv."		"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	"Selaginella selaginoides"	
"Pteris cretica L."		"2cd4p9h.cf"	"2cd4p9h.cf"	"Pteris cretica L."	"Pteris cretica"	
"Polypodium cambricum x vulgare = P. x font-queri Rothm."		"2cd4p9h.cr"	"2cd4p9h.cr"	"Polypodium cambricum x vulgare = P. x font-queri Rothm."	"Polypodium cambricum x vulgare = P. x font-queri"	
"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid."		"2cd4p9h.cz"	"2cd4p9h.cz"	"Polypodium interjectum x vulgare = P. x mantoniae Rothm. & U.Schneid."	"Polypodium interjectum x vulgare = P. x mantoniae"	
"Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock"		"2cd4p9h.d5"	"2cd4p9h.d5"	"Polystichum munitum x setiferum = P. x lesliei Rumsey & Acock"	"Polystichum munitum x setiferum = P. x lesliei"	
"Acanthus mollis L."		"2cd4p9h.db"	"2cd4p9h.db"	"Acanthus mollis L."	"Acanthus mollis"	
"Aconitum napellus L."		"2cd4p9h.dn"	"2cd4p9h.dn"	"Aconitum napellus L."	"Aconitum napellus"	
