"key"	"dataValue"	"taxonId"	"origTaxonId"	"preferredQualifiedTaxonName"	"preferredTaxon"	"preferredTaxonQualifier"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Asplenium trichomanes L."	"0910000194"	"2cd4p9h.aq"	"2cd4p9h.aq"	"Asplenium trichomanes L."	"Asplenium trichomanes"		"Asplenium trichomanes"				
"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."	"0910000194.3"	"2cd4p9h.b1"	"2cd4p9h.b1"	"Asplenium trichomanes subsp. pachyrachis (H.Christ) Lovis & Reichst."	"Asplenium trichomanes subsp. pachyrachis"		"Asplenium trichomanes subsp. pachyrachis"				
"Asplenium trichomanes-ramosum L., nom. inval."	"0910000195"	"2cd4p9h.b4"	"2cd4p9h.7mm058"	"Asplenium viride Huds."	"Asplenium viride"		"Asplenium trichomanes-ramosum"				
"Asplenium viride Huds."	"0910000195"	"2cd4p9h.b4"	"2cd4p9h.b4"	"Asplenium viride Huds."	"Asplenium viride"		"Asplenium viride"				
"Dryopteris aemula (Aiton) Kuntze"	"0910000660"	"2cd4p9h.ba"	"2cd4p9h.ba"	"Dryopteris aemula (Aiton) Kuntze"	"Dryopteris aemula"		"Dryopteris aemula"				
"Hymenophyllum wilsonii Hook."	"0910001001"	"2cd4p9h.bg"	"2cd4p9h.bg"	"Hymenophyllum wilsonii Hook."	"Hymenophyllum wilsonii"		"Hymenophyllum wilsonii"				
"Isoetes echinospora Durieu"	"0910001043"	"2cd4p9h.bm"	"2cd4p9h.bm"	"Isoetes echinospora Durieu"	"Isoetes echinospora"		"Isoetes echinospora"				
"Selaginella selaginoides (L.) P.Beauv."	"0910001888"	"2cd4p9h.bs"	"2cd4p9h.bs"	"Selaginella selaginoides (L.) P.Beauv."	"Selaginella selaginoides"		"Selaginella selaginoides"				
"Pteris cretica L."	"0910002506"	"2cd4p9h.cf"	"2cd4p9h.cf"	"Pteris cretica L."	"Pteris cretica"		"Pteris cretica"				
"Polypodium cambricum x vulgare = P. x font-queri Rothm."	"0910002593"	"2cd4p9h.cr"	"2cd4p9h.cr"	"Polypodium cambricum x vulgare = P. x font-queri Rothm."	"Polypodium cambricum x vulgare = P. x font-queri"		"Polypodium cambricum x vulgare = P. x font-queri"				
