"DDb matched name (id)"	"DDb matched name (full)"	"DDb matched name (qualified name)"	"DDb matched name (taxon name)"	"DDb matched name (qualifier)"	"DDb matched name (authority)"	"DDb matched name (brc id)"	"TVK of matched name"	"DDb accepted name (full)"	"Brc id of DDb accepted name"	"taxon errors/warnings"	"speciesSearch"
"2cd4p9h.ezd"	"Allium ampeloprasum var. babingtonii (Borrer) Syme"	"Allium ampeloprasum var. babingtonii"	"Allium ampeloprasum var. babingtonii"		"(Borrer) Syme"	"Vas_66"	"NBNSYS0000002193"		"Vas_66"		"Allium ampeloprasum var. babingtonii"
"2cd4p9h.n1y"	"Betula L."	"Betula"	"Betula"		"L."	"Vas_4445"	"NHMSYS0000456456"		"Vas_4445"		"Betula"
"2cd4p9h.f2g"	"Brassica oleracea cv."	"Brassica oleracea cv."	"Brassica oleracea"	"cv."		"Vas_253.2"			"Vas_253.2"		"Brassica oleracea cv"
"2cd4p9h.q52"	"Festuca L."	"Festuca"	"Festuca"		"L."	"Vas_4916"	"NHMSYS0000458754"		"Vas_4916"		"Festuca"
"2cd4p9h.1qz5va"	"Hieracium agg."	"Hieracium agg."	"Hieracium"	"agg."		"Vas_22554"	"NBNSYS0100003460"	"Hieracium L."	"Vas_2560"		"Hieracium agg."
"2cd4p9h.7mm2h0"	"Hieracium pilosella L."	"Hieracium pilosella"	"Hieracium pilosella"		"L."	"Vas_976"	"NBNSYS0000148590"	"Pilosella officinarum F.W.Schultz & Sch.Bip."	"Vas_976"		"Hieracium pilosella"
"2cd4p9h.6yf"	"Larix Mill."	"Larix"	"Larix"		"Mill."	"Vas_4442"	"NHMSYS0000460125"		"Vas_4442"		"Larix"
"2cd4p9h.342"	"Potamogeton L."	"Potamogeton"	"Potamogeton"		"L."	"Vas_4551"	"NHMSYS0000461992"		"Vas_4551"		"Potamogeton"
"2cd4p9h.n1r"	"Quercus L."	"Quercus"	"Quercus"		"L."	"Vas_4446"	"NHMSYS0000462211"		"Vas_4446"		"Quercus"
"2cd4p9h.1tf"	"Salix repens L."	"Salix repens"	"Salix repens"		"L."	"Vas_1802"	"NBNSYS0000003877"		"Vas_1802"		"Salix repens"
"2cd4p9h.nrs"	"Solanum sarrachoides Sendtn."	"Solanum sarrachoides"	"Solanum sarrachoides"		"Sendtn."	"Vas_1946"	"NHMSYS0000463762"		"Vas_1946"		"Solanum sarrachoides"
"2cd4p9h.k5k"	"Trifolium L."	"Trifolium"	"Trifolium"		"L."	"Vas_5298"	"NHMSYS0000464558"		"Vas_5298"		"Trifolium"
"2cd4p9h.mty"	"Ulmus L."	"Ulmus"	"Ulmus"		"L."	"Vas_4314"	"NHMSYS0000464698"		"Vas_4314"		"Ulmus"
