species,BRC_old,BRC_new
Algae,22,
Fucales,27,
Nitella,720309,
Chara,720113,
Bostrychia scorpioides,71415501,
Cetraria islandica,5502848,
Peltigera canina,5503836,
Cladonia uncialis,5502931,
Cladonia pyxidata,5502912,
Cladonia gracilis,5502891,
Cladonia arbuscula,5502860,
Cladonia rangiformis,5502915,
Solorina saccata,5503873,
Peltigera aphthosa,5503834,
Collema tenax,5502967,
Cladonia papillaria,5505307,
Diploschistes scruposus,5501444,
Buellia epigaea,5505325,
Cladonia foliacea,5502886,
Squamarina lentigera,5503564,
Cladonia fimbriata,5502883,
Cladonia impexa,5505304,
Cladonia tenuis,5505322,
Cornicularia aculeata,5505290,
Cladonia squamosa,5502919,
Cladonia pocillum,5502908,
Alectoria nigricans,5502681,
Cladonia floerkeana,5502885,
Cladonia furcata,5502888,
Cladonia coccifera,5502873,
Hypogymnia physodes,5503050,
Usnea articulata,5503648,
Cladonia bacillaris,5502861,
Cornicularia muricata,5505292,
Cladonia subcervicornis,5502925,
Cladonia crispata,5502877,
Usnea subfloridana,5503663,
Cladonia rangiferina,5502914,
Cladonia chlorophaea,5502870,
Alectoria ochroleuca,5502682,
Sphaerophorus globosus,55094,
Cetraria nivalis,5502851,
Thamnolia vermicularis,5503589,
Ochrolechia frigida,5503880,
Cetraria glauca,5505299,
Sphaerophorus fragilis,55093,
Alectoria sarmentosa,5502683,
Cladonia bellidiflora,5502862,
Cladonia leucophaea,5505305,
Cladonia deformis,5502881,
Cladonia cornuta,5502876,
Ochrolechia tartarea,5503886,
Cetraria norvegica/platysma lacunosum,5505251,
Cladonia coniocraea,5502874,
Cladonia macilenta,5502896,
Cladonia subrangiformis,5505285,
Cladonia verticillata,5505287,
Collema sp.,5505232,
Peltigera praetextata,5503849,
Peltigera horizontalis,5503841,
Parmelia saxatilis,5503411,
Dermatocarpon miniatum,5505112,
Dermatocarpon lachnaeum,5505227,
Toninia caeruleonigricans,5503603,
Squamarina crassa,5505241,
Peltigera rufescens,5503850,
Cladonia cervicornis,5502868,
Solorina crocea,5503872,
Cetraria hiascens/delisei,5505350,
Cladonia macrophylla,5502897,
Stereocaulon vesuvianum,5503581,
Cladonia squamules/sp,5505253,
Cladonia polydactyla,5502909,
Cladonia digitata,5502882,
